iter	Passed	Remaining
749	1208	402
750	1210	401
751	1212	399
752	1214	398
753	1217	397
754	1219	395
755	1220	394
756	1222	392
757	1225	391
758	1227	389
759	1229	388
760	1231	386
761	1232	385
762	1233	383
763	1235	381
764	1236	379
765	1237	378
766	1238	376
767	1240	374
768	1242	373
769	1243	371
770	1245	369
771	1246	368
772	1247	366
773	1248	364
774	1249	362
775	1251	361
776	1253	359
777	1254	358
778	1257	356
779	1259	355
780	1261	353
781	1263	352
782	1265	350
783	1267	349
784	1268	347
785	1269	345
786	1271	344
787	1274	342
788	1276	341
789	1278	339
790	1280	338
791	1281	336
792	1283	335
793	1285	333
794	1287	332
795	1290	330
796	1291	329
797	1293	327
798	1294	325
799	1295	323
800	1296	322
801	1297	320
802	1299	318
803	1302	317
804	1304	315
805	1306	314
806	1308	312
807	1310	311
808	1312	309
809	1313	308
810	1314	306
811	1317	304
812	1319	303
813	1321	301
814	1323	300
815	1325	298
816	1327	297
817	1329	295
818	1330	293
819	1331	292
820	1332	290
821	1333	288
822	1334	287
823	1336	285
824	1337	283
825	1338	281
826	1339	280
827	1340	278
828	1341	276
829	1343	275
830	1344	273
831	1346	271
832	1348	270
833	1350	268
834	1351	267
835	1353	265
836	1355	263
837	1357	262
838	1358	260
839	1359	259
840	1360	257
841	1362	255
842	1364	254
843	1365	252
844	1366	250
845	1367	249
846	1369	247
847	1370	245
848	1371	243
849	1372	242
850	1373	240
851	1374	238
852	1376	237
853	1378	235
854	1379	233
855	1380	232
856	1381	230
857	1383	228
858	1384	227
859	1385	225
860	1386	223
861	1388	222
862	1390	220
863	1392	219
864	1395	217
865	1396	216
866	1398	214
867	1400	212
868	1401	211
869	1403	209
870	1405	208
871	1406	206
872	1408	204
873	1410	203
874	1411	201
875	1413	200
876	1415	198
877	1417	196
878	1419	195
879	1421	193
880	1423	192
881	1425	190
882	1427	189
883	1429	187
884	1430	185
885	1431	184
886	1432	182
887	1433	180
888	1435	179
889	1437	177
890	1439	176
891	1441	174
892	1444	173
893	1446	171
894	1448	169
895	1449	168
896	1450	166
897	1452	164
898	1454	163
899	1456	161
900	1458	160
901	1460	158
902	1462	157
903	1464	155
904	1466	153
905	1469	152
906	1471	150
907	1473	149
908	1475	147
909	1476	146
910	1478	144
911	1479	142
912	1480	141
913	1482	139
914	1484	137
915	1487	136
916	1489	134
917	1491	133
918	1493	131
919	1494	129
920	1496	128
921	1497	126
922	1498	125
923	1500	123
924	1502	121
925	1503	120
926	1504	118
927	1506	116
928	1507	115
929	1508	113
930	1509	111
931	1511	110
932	1512	108
933	1513	106
934	1514	105
935	1515	103
936	1517	102
937	1518	100
938	1519	98
939	1520	97
940	1521	95
941	1522	93
942	1524	92
943	1525	90
944	1527	88
945	1528	87
946	1531	85
947	1532	84
948	1534	82
949	1537	80
950	1539	79
951	1540	77
952	1542	76
953	1543	74
954	1545	72
955	1547	71
956	1548	69
957	1549	67
958	1550	66
959	1551	64
960	1553	63
961	1554	61
962	1555	59
963	1556	58
964	1557	56
965	1559	54
966	1561	53
967	1562	51
968	1563	50
969	1564	48
970	1565	46
971	1566	45
972	1568	43
973	1569	41
974	1570	40
975	1573	38
976	1575	37
977	1577	35
978	1579	33
979	1581	32
980	1583	30
981	1585	29
982	1586	27
983	1587	25
984	1589	24
985	1591	22
986	1593	20
987	1595	19
988	1597	17
989	1598	16
990	1600	14
991	1602	12
992	1604	11
993	1606	9
994	1608	8
995	1610	6
996	1612	4
997	1614	3
998	1615	1
999	1616	0
